Group,Layer,Type,BBox,ZOrder,Priority,CommercialAction,CubismTarget,Notes
01_BODY_BASE,Body_Hip_Base,redraw,"223,341,591,747",20,S,original,PartBodyHipBase,Final production split layer; redraw hidden area before rigging.
01_BODY_BASE,Body_Backfill_UnderBlouse,redraw,"223,341,591,747",21,S,original,PartBodyBackfillUnderblouse,Final production split layer; redraw hidden area before rigging.
01_BODY_BASE,Body_Backfill_UnderCape,redraw,"223,341,591,747",22,S,original,PartBodyBackfillUndercape,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Head_Base,redraw,"312,144,474,333",23,S,original,PartHeadBase,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Face_Base,redraw,"312,144,474,333",24,S,original,PartFaceBase,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Face_Forehead_Backfill,redraw,"312,144,474,333",25,S,original,PartFaceForeheadBackfill,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Face_Cheek_L,paint,"312,144,474,333",26,S,original,PartFaceCheekL,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Face_Cheek_R,paint,"312,144,474,333",27,S,original,PartFaceCheekR,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Face_Chin_Shadow,paint,"312,144,474,333",28,S,original,PartFaceChinShadow,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Ear_L_Base,redraw,"312,144,474,333",29,S,original,PartEarLBase,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Ear_R_Base,redraw,"312,144,474,333",30,S,original,PartEarRBase,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Nose_Line,paint,"312,144,474,333",31,S,original,PartNoseLine,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Nose_Shadow,paint,"312,144,474,333",32,S,original,PartNoseShadow,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Blush_Soft,paint,"312,144,474,333",33,S,original,PartBlushSoft,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Blush_Strong,paint,"312,144,474,333",34,S,original,PartBlushStrong,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Sweat_Drop,paint,"312,144,474,333",35,S,original,PartSweatDrop,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Tear_L,paint,"312,144,474,333",36,S,original,PartTearL,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Tear_R,paint,"312,144,474,333",37,S,original,PartTearR,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Embarrassed_Shadow,paint,"312,144,474,333",38,S,original,PartEmbarrassedShadow,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Angry_Mark,paint,"312,144,474,333",39,S,original,PartAngryMark,Final production split layer; redraw hidden area before rigging.
02_HEAD_FACE,Question_Mark,paint,"312,144,474,333",40,S,original,PartQuestionMark,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_L_White,paint,"311,204,467,312",41,S,original,PartEyeLWhite,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_L_Iris_Base,redraw,"311,204,467,312",42,S,original,PartEyeLIrisBase,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_L_Iris_Shadow,paint,"311,204,467,312",43,S,original,PartEyeLIrisShadow,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_L_Pupil,paint,"311,204,467,312",44,S,original,PartEyeLPupil,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_L_Highlight_Main,paint,"311,204,467,312",45,S,original,PartEyeLHighlightMain,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_L_Highlight_Sub,paint,"311,204,467,312",46,S,original,PartEyeLHighlightSub,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_L_UpperLid,paint,"311,204,467,312",47,S,original,PartEyeLUpperlid,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_L_LowerLid,paint,"311,204,467,312",48,S,original,PartEyeLLowerlid,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_L_Lash_Upper,paint,"311,204,467,312",49,S,original,PartEyeLLashUpper,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_L_Lash_Lower,paint,"311,204,467,312",50,S,original,PartEyeLLashLower,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_R_White,paint,"311,204,467,312",51,S,original,PartEyeRWhite,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_R_Iris_Base,redraw,"311,204,467,312",52,S,original,PartEyeRIrisBase,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_R_Iris_Shadow,paint,"311,204,467,312",53,S,original,PartEyeRIrisShadow,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_R_Pupil,paint,"311,204,467,312",54,S,original,PartEyeRPupil,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_R_Highlight_Main,paint,"311,204,467,312",55,S,original,PartEyeRHighlightMain,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_R_Highlight_Sub,paint,"311,204,467,312",56,S,original,PartEyeRHighlightSub,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_R_UpperLid,paint,"311,204,467,312",57,S,original,PartEyeRUpperlid,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_R_LowerLid,paint,"311,204,467,312",58,S,original,PartEyeRLowerlid,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_R_Lash_Upper,paint,"311,204,467,312",59,S,original,PartEyeRLashUpper,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Eye_R_Lash_Lower,paint,"311,204,467,312",60,S,original,PartEyeRLashLower,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Brow_L_Base,redraw,"311,204,467,312",61,S,original,PartBrowLBase,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Brow_L_Angry,paint,"311,204,467,312",62,S,original,PartBrowLAngry,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Brow_L_Sad,paint,"311,204,467,312",63,S,original,PartBrowLSad,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Brow_R_Base,redraw,"311,204,467,312",64,S,original,PartBrowRBase,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Brow_R_Angry,paint,"311,204,467,312",65,S,original,PartBrowRAngry,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Brow_R_Sad,paint,"311,204,467,312",66,S,original,PartBrowRSad,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Mouth_Inner,paint,"311,204,467,312",67,S,original,PartMouthInner,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Mouth_Line_Neutral,paint,"311,204,467,312",68,S,original,PartMouthLineNeutral,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Mouth_Line_Smile,paint,"311,204,467,312",69,S,original,PartMouthLineSmile,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Mouth_Line_Frown,paint,"311,204,467,312",70,S,original,PartMouthLineFrown,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Mouth_Teeth,paint,"311,204,467,312",71,S,original,PartMouthTeeth,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Mouth_Tongue,paint,"311,204,467,312",72,S,original,PartMouthTongue,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Mouth_A,paint,"311,204,467,312",73,S,original,PartMouthA,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Mouth_I,paint,"311,204,467,312",74,S,original,PartMouthI,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Mouth_U,paint,"311,204,467,312",75,S,original,PartMouthU,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Mouth_E,paint,"311,204,467,312",76,S,original,PartMouthE,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Mouth_O,paint,"311,204,467,312",77,S,original,PartMouthO,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Glasses_Frame_L,paint,"311,204,467,312",78,S,original,PartGlassesFrameL,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Glasses_Frame_R,paint,"311,204,467,312",79,S,original,PartGlassesFrameR,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Glasses_Bridge,paint,"311,204,467,312",80,S,original,PartGlassesBridge,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Glasses_Lens_L,paint,"311,204,467,312",81,S,original,PartGlassesLensL,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Glasses_Lens_R,paint,"311,204,467,312",82,S,original,PartGlassesLensR,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Glasses_Reflection_L,paint,"311,204,467,312",83,S,original,PartGlassesReflectionL,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Glasses_Reflection_R,paint,"311,204,467,312",84,S,original,PartGlassesReflectionR,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Glasses_Temple_L,paint,"311,204,467,312",85,S,original,PartGlassesTempleL,Final production split layer; redraw hidden area before rigging.
03_EYES_BROWS_MOUTH_GLASSES,Glasses_Temple_R,paint,"311,204,467,312",86,S,original,PartGlassesTempleR,Final production split layer; redraw hidden area before rigging.
04_HAIR,Ahoge_01,paint,"159,53,719,988",87,S,original,PartAhoge01,Final production split layer; redraw hidden area before rigging.
04_HAIR,Ahoge_02,paint,"159,53,719,988",88,S,original,PartAhoge02,Final production split layer; redraw hidden area before rigging.
04_HAIR,Ahoge_03,paint,"159,53,719,988",89,S,original,PartAhoge03,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_Center_01,paint,"159,53,719,988",90,S,original,PartBangCenter01,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_Center_02,paint,"159,53,719,988",91,S,original,PartBangCenter02,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_Center_03,paint,"159,53,719,988",92,S,original,PartBangCenter03,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_Center_04,paint,"159,53,719,988",93,S,original,PartBangCenter04,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_Center_05,paint,"159,53,719,988",94,S,original,PartBangCenter05,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_Center_06,paint,"159,53,719,988",95,S,original,PartBangCenter06,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_Center_07,paint,"159,53,719,988",96,S,original,PartBangCenter07,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_Center_08,paint,"159,53,719,988",97,S,original,PartBangCenter08,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_L_01,paint,"159,53,719,988",98,S,original,PartBangL01,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_L_02,paint,"159,53,719,988",99,S,original,PartBangL02,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_L_03,paint,"159,53,719,988",100,S,original,PartBangL03,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_L_04,paint,"159,53,719,988",101,S,original,PartBangL04,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_L_05,paint,"159,53,719,988",102,S,original,PartBangL05,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_L_06,paint,"159,53,719,988",103,S,original,PartBangL06,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_L_07,paint,"159,53,719,988",104,S,original,PartBangL07,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_L_08,paint,"159,53,719,988",105,S,original,PartBangL08,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_L_09,paint,"159,53,719,988",106,S,original,PartBangL09,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_L_10,paint,"159,53,719,988",107,S,original,PartBangL10,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_R_01,paint,"159,53,719,988",108,S,original,PartBangR01,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_R_02,paint,"159,53,719,988",109,S,original,PartBangR02,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_R_03,paint,"159,53,719,988",110,S,original,PartBangR03,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_R_04,paint,"159,53,719,988",111,S,original,PartBangR04,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_R_05,paint,"159,53,719,988",112,S,original,PartBangR05,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_R_06,paint,"159,53,719,988",113,S,original,PartBangR06,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_R_07,paint,"159,53,719,988",114,S,original,PartBangR07,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_R_08,paint,"159,53,719,988",115,S,original,PartBangR08,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_R_09,paint,"159,53,719,988",116,S,original,PartBangR09,Final production split layer; redraw hidden area before rigging.
04_HAIR,Bang_R_10,paint,"159,53,719,988",117,S,original,PartBangR10,Final production split layer; redraw hidden area before rigging.
04_HAIR,Hair_Back_Base,redraw,"159,53,719,988",118,S,original,PartHairBackBase,Final production split layer; redraw hidden area before rigging.
04_HAIR,Hair_Back_Inner,paint,"159,53,719,988",119,S,original,PartHairBackInner,Final production split layer; redraw hidden area before rigging.
04_HAIR,Hair_Back_Outer,paint,"159,53,719,988",120,S,original,PartHairBackOuter,Final production split layer; redraw hidden area before rigging.
04_HAIR,Hair_Back_Shadow,paint,"159,53,719,988",121,S,original,PartHairBackShadow,Final production split layer; redraw hidden area before rigging.
04_HAIR,Hair_Back_Highlight,paint,"159,53,719,988",122,S,original,PartHairBackHighlight,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_L_01,paint,"159,53,719,988",123,S,original,PartSidehairL01,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_L_02,paint,"159,53,719,988",124,S,original,PartSidehairL02,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_L_03,paint,"159,53,719,988",125,S,original,PartSidehairL03,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_L_04,paint,"159,53,719,988",126,S,original,PartSidehairL04,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_L_05,paint,"159,53,719,988",127,S,original,PartSidehairL05,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_L_06,paint,"159,53,719,988",128,S,original,PartSidehairL06,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_L_07,paint,"159,53,719,988",129,S,original,PartSidehairL07,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_L_08,paint,"159,53,719,988",130,S,original,PartSidehairL08,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_L_09,paint,"159,53,719,988",131,S,original,PartSidehairL09,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_L_10,paint,"159,53,719,988",132,S,original,PartSidehairL10,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_L_11,paint,"159,53,719,988",133,S,original,PartSidehairL11,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_L_12,paint,"159,53,719,988",134,S,original,PartSidehairL12,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_R_01,paint,"159,53,719,988",135,S,original,PartSidehairR01,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_R_02,paint,"159,53,719,988",136,S,original,PartSidehairR02,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_R_03,paint,"159,53,719,988",137,S,original,PartSidehairR03,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_R_04,paint,"159,53,719,988",138,S,original,PartSidehairR04,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_R_05,paint,"159,53,719,988",139,S,original,PartSidehairR05,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_R_06,paint,"159,53,719,988",140,S,original,PartSidehairR06,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_R_07,paint,"159,53,719,988",141,S,original,PartSidehairR07,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_R_08,paint,"159,53,719,988",142,S,original,PartSidehairR08,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_R_09,paint,"159,53,719,988",143,S,original,PartSidehairR09,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_R_10,paint,"159,53,719,988",144,S,original,PartSidehairR10,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_R_11,paint,"159,53,719,988",145,S,original,PartSidehairR11,Final production split layer; redraw hidden area before rigging.
04_HAIR,SideHair_R_12,paint,"159,53,719,988",146,S,original,PartSidehairR12,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_L_01,paint,"159,53,719,988",147,S,original,PartLongstrandL01,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_L_02,paint,"159,53,719,988",148,S,original,PartLongstrandL02,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_L_03,paint,"159,53,719,988",149,S,original,PartLongstrandL03,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_L_04,paint,"159,53,719,988",150,S,original,PartLongstrandL04,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_L_05,paint,"159,53,719,988",151,S,original,PartLongstrandL05,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_L_06,paint,"159,53,719,988",152,S,original,PartLongstrandL06,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_L_07,paint,"159,53,719,988",153,S,original,PartLongstrandL07,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_L_08,paint,"159,53,719,988",154,S,original,PartLongstrandL08,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_L_09,paint,"159,53,719,988",155,S,original,PartLongstrandL09,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_L_10,paint,"159,53,719,988",156,S,original,PartLongstrandL10,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_R_01,paint,"159,53,719,988",157,S,original,PartLongstrandR01,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_R_02,paint,"159,53,719,988",158,S,original,PartLongstrandR02,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_R_03,paint,"159,53,719,988",159,S,original,PartLongstrandR03,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_R_04,paint,"159,53,719,988",160,S,original,PartLongstrandR04,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_R_05,paint,"159,53,719,988",161,S,original,PartLongstrandR05,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_R_06,paint,"159,53,719,988",162,S,original,PartLongstrandR06,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_R_07,paint,"159,53,719,988",163,S,original,PartLongstrandR07,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_R_08,paint,"159,53,719,988",164,S,original,PartLongstrandR08,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_R_09,paint,"159,53,719,988",165,S,original,PartLongstrandR09,Final production split layer; redraw hidden area before rigging.
04_HAIR,LongStrand_R_10,paint,"159,53,719,988",166,S,original,PartLongstrandR10,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_L_01,paint,"159,53,719,988",167,S,original,PartHairtipL01,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_L_02,paint,"159,53,719,988",168,S,original,PartHairtipL02,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_L_03,paint,"159,53,719,988",169,S,original,PartHairtipL03,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_L_04,paint,"159,53,719,988",170,S,original,PartHairtipL04,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_L_05,paint,"159,53,719,988",171,S,original,PartHairtipL05,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_L_06,paint,"159,53,719,988",172,S,original,PartHairtipL06,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_L_07,paint,"159,53,719,988",173,S,original,PartHairtipL07,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_L_08,paint,"159,53,719,988",174,S,original,PartHairtipL08,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_R_01,paint,"159,53,719,988",175,S,original,PartHairtipR01,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_R_02,paint,"159,53,719,988",176,S,original,PartHairtipR02,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_R_03,paint,"159,53,719,988",177,S,original,PartHairtipR03,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_R_04,paint,"159,53,719,988",178,S,original,PartHairtipR04,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_R_05,paint,"159,53,719,988",179,S,original,PartHairtipR05,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_R_06,paint,"159,53,719,988",180,S,original,PartHairtipR06,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_R_07,paint,"159,53,719,988",181,S,original,PartHairtipR07,Final production split layer; redraw hidden area before rigging.
04_HAIR,HairTip_R_08,paint,"159,53,719,988",182,S,original,PartHairtipR08,Final production split layer; redraw hidden area before rigging.
05_OUTFIT_BLOUSE_BOW,Blouse_Base,redraw,"223,328,591,666",183,S,original,PartBlouseBase,Final production split layer; redraw hidden area before rigging.
05_OUTFIT_BLOUSE_BOW,Blouse_Shadow,paint,"223,328,591,666",184,S,original,PartBlouseShadow,Final production split layer; redraw hidden area before rigging.
05_OUTFIT_BLOUSE_BOW,Blouse_Highlight,paint,"223,328,591,666",185,S,original,PartBlouseHighlight,Final production split layer; redraw hidden area before rigging.
05_OUTFIT_BLOUSE_BOW,Collar_L,paint,"223,328,591,666",186,S,original,PartCollarL,Final production split layer; redraw hidden area before rigging.
05_OUTFIT_BLOUSE_BOW,Collar_R,paint,"223,328,591,666",187,S,original,PartCollarR,Final production split layer; redraw hidden area before rigging.
05_OUTFIT_BLOUSE_BOW,Collar_Shadow,paint,"223,328,591,666",188,S,original,PartCollarShadow,Final production split layer; redraw hidden area before rigging.
05_OUTFIT_BLOUSE_BOW,Chest_Ruffle_01,paint,"223,328,591,666",189,S,original,PartChestRuffle01,Final production split layer; redraw hidden area before rigging.
05_OUTFIT_BLOUSE_BOW,Chest_Ruffle_02,paint,"223,328,591,666",190,S,original,PartChestRuffle02,Final production split layer; redraw hidden area before rigging.
05_OUTFIT_BLOUSE_BOW,Chest_Ruffle_03,paint,"223,328,591,666",191,S,original,PartChestRuffle03,Final production split layer; redraw hidden area before rigging.
05_OUTFIT_BLOUSE_BOW,Chest_Ruffle_04,paint,"223,328,591,666",192,S,original,PartChestRuffle04,Final production split layer; redraw hidden area before rigging.
05_OUTFIT_BLOUSE_BOW,Chest_Ruffle_05,paint,"223,328,591,666",193,S,original,PartChestRuffle05,Final production split layer; redraw hidden area before rigging.
05_OUTFIT_BLOUSE_BOW,Chest_Ruffle_06,paint,"223,328,591,666",194,S,original,PartChestRuffle06,Final production split layer; redraw hidden area before rigging.
05_OUTFIT_BLOUSE_BOW,Button_01,paint,"223,328,591,666",195,S,original,PartButton01,Final production split layer; redraw hidden area before rigging.
05_OUTFIT_BLOUSE_BOW,Button_02,paint,"223,328,591,666",196,S,original,PartButton02,Final production split layer; redraw hidden area before rigging.
